S.No.	Post Office	pincode	Taluk	City	Delievery Type
91	Budagavi B.O	515812	Uravakonda	Ananthapur	Delivery
92	Budanampalle B.O	515511	Mudigubba	Ananthapur	Delivery
93	Budidagaddapalli B.O	515241	Gorantla	Ananthapur	Delivery
94	Budili S.O	515241	Gorantla	Ananthapur	Delivery
95	Budilisettipalli B.O	515241	Gorantla	Ananthapur	Delivery
96	Budimepalli B.O	515763	Brahmasamudram	Ananthapur	Delivery
97	Bukkacherla B.O	515002	Anantapur	Ananthapur	Delivery
98	Bukkapatnam S.O	515144	Bukkapatnam	Ananthapur	Delivery
99	Bukkarayasamudram S.O	515701	Bukkrayasamudram	Ananthapur	Delivery
100	Bullasamudram B.O	515303	Madakasira	Ananthapur	Delivery
101	Bussaiahgaripalli B.O	515241	Somandepalli	Ananthapur	Delivery
102	Byagarlapalli B.O	515301	Madakasira	Ananthapur	Delivery
103	Byrapuram B.O	515110	Kothacheruvu	Ananthapur	Delivery
104	C Bandameedapalli B.O	515701	Singanamala	Ananthapur	Delivery
105	Chabala B.O	515812	Vajrakarur	Ananthapur	Delivery
106	Chadam B.O	515865	Rayadurg	Ananthapur	Delivery
107	Chagaleru B.O	515601	Chilamathur	Ananthapur	Delivery
108	Chakarlapalli B.O	515122	Somandepalle	Ananthapur	Delivery
109	Chalakur B.O	515122	Somandepalli	Ananthapur	Delivery
110	Chalivemula B.O	515414	Putlur	Ananthapur	Delivery
111	Chalivendla B.O	515331	Hindupur	Ananthapur	Delivery
112	Challapalli B.O	515122	Somandepalli	Ananthapur	Delivery
113	Challavaripalli B.O	515411	Tadipatri	Ananthapur	Delivery
114	Chamaluru B.O	515425	Narpala	Ananthapur	Delivery
115	Chandakacherla B.O	515301	Madakasira	Ananthapur	Delivery
116	Chandana B.O	515455	Yadiki	Ananthapur	Delivery
117	Chapiri B.O	515761	Kalyandurg	Ananthapur	Delivery
118	Chayapuram B.O	515842	Vajrakarur	Ananthapur	Delivery
119	Cheekalagurki B.O	515812	Vidapanakal	Ananthapur	Delivery
120	Cheekatimanipalli B.O	515571	Tanakallu	Ananthapur	Delivery
121	Cheemalavagupalli B.O	515408	Peddapappur	Ananthapur	Delivery
122	Cheepuleti B.O	515303	Madakasira	Ananthapur	Delivery
123	Cheliminahalli B.O	515767	Brhama Samudram	Ananthapur	Delivery
124	Chennamanayani Kota B.O	515641	Kanaganapalle	Ananthapur	Delivery
125	Chennampalli B.O	515425	Bukkaraya Samudram	Ananthapur	Delivery
126	Chennampalli B.O	515621	Kambadur	Ananthapur	Delivery
127	Chennarajupalli B.O	515110	Penukonda	Ananthapur	Delivery
128	Chennekothapalli S.O	515101	C.k.palli	Ananthapur	Delivery
129	Cherlokodigepalli B.O	515303	Madakasira	Ananthapur	Delivery
130	Cherlopalli B.O	515766	Settur	Ananthapur	Delivery
131	Cherlopalli B.O	515414	Putlur	Ananthapur	Delivery
132	Cherukuru B.O	515124	Roddam	Ananthapur	Delivery
133	Chigicherla B.O	515672	Dharmavaram	Ananthapur	Delivery
134	Chikirevulapalli B.O	515556	Amadagur	Ananthapur	Delivery
135	Chikkachoragiri B.O	515271	Gudibanda	Ananthapur	Delivery
136	Chikkepalli B.O	515445	Peddapappur	Ananthapur	Delivery
137	Chilamakuru B.O	515465	Yellanur	Ananthapur	Delivery
138	Chilamathur S.O	515341	Chilamathur	Ananthapur	Delivery
139	Chillakondayapalli B.O	515631	Tadimarri	Ananthapur	Delivery
140	Chillavaripalle B.O	515631	Tadimarri	Ananthapur	Delivery
141	Chinnachigullarevu B.O	515631	Tadimarri	Ananthapur	Delivery
142	Chinnaganapalle B.O	515556	Amadagur	Ananthapur	Delivery
143	Chinnamanthur B.O	515124	Roddam	Ananthapur	Delivery
144	Chinnampalli B.O	515761	Kambadur	Ananthapur	Delivery
145	Chinnamusturu B.O	515812	Uravakonda	Ananthapur	Delivery
146	Chinnapolamada B.O	515411	Tadipatri	Ananthapur	Delivery
147	Chinnaramannagaripalli B.O	515571	Tanakallu	Ananthapur	Delivery
148	Chinnarayanipalli B.O	515501	Nallamada	Ananthapur	Delivery
149	Chinnavadugur B.O	515405	Pedda Vadagur	Ananthapur	Delivery
150	Chintakayamanda B.O	515465	Yellanur	Ananthapur	Delivery
151	Chintakunta B.O	515414	Putlur	Ananthapur	Delivery
152	Chintalacheruvu B.O	515455	Peddavadugur	Ananthapur	Delivery
153	Chintalayalapalli B.O	515408	Yadiki	Ananthapur	Delivery
154	Chintarlapalli B.O	515767	Shetturu	Ananthapur	Delivery
155	Chippalamadugu B.O	515541	Kadiri	Ananthapur	Delivery
156	Chitnaduku B.O	515281	Amarapuram	Ananthapur	Delivery
157	Chitrachedu B.O	515611	Peddavadugur	Ananthapur	Delivery
158	Chittur B.O	515611	Peddavadugur	Ananthapur	Delivery
159	Chiyyedu B.O	515721	Anantapur	Ananthapur	Delivery
160	Cholasamudram B.O	515711	Kuderu	Ananthapur	Delivery
161	Cholasamudram B.O	515331	Lepakshi	Ananthapur	Delivery
162	Cholemarri B.O	515124	Roddam	Ananthapur	Delivery
163	Chowluru B.O	515211	Hindupur	Ananthapur	Delivery
164	Chowtakuntapalli B.O	515501	Nallamada	Ananthapur	Delivery
165	Chowtivaripalle B.O	515551	Nallacheruvu	Ananthapur	Delivery
166	Chukkalur S.O	515415	Tadpatri	Ananthapur	Delivery
167	Clock Tower Kadiri S.O	515591	Kadiri	Ananthapur	Non-Delivery
168	D.Cherlopalli B.O	515672	Bathalapalli	Ananthapur	Delivery
169	Dabburivaripalli B.O	515531	O.d. Cheruvu	Ananthapur	Delivery
170	Dadalur B.O	515641	Kanaganapalli	Ananthapur	Delivery
171	Dadithota B.O	515631	Tadimarri	Ananthapur	Delivery
172	Dampetla B.O	515672	Bathalapalli	Ananthapur	Delivery
173	Danduvaripalli B.O	515701	B K Samudram	Ananthapur	Delivery
174	Darga Kondaopuram B.O	515865	Rayadurg	Ananthapur	Delivery
175	Darsimala B.O	515672	Dharmavaram	Ananthapur	Delivery
176	Dasampalli B.O	515765	Kalyandurg	Ananthapur	Delivery
177	Dasappapalyam B.O	515291	Rolla	Ananthapur	Delivery
178	Demakethapalli B.O	515331	Chilamathur	Ananthapur	Delivery
179	Devagiri B.O	515871	Bommanahal	Ananthapur	Delivery
180	Devarapalli B.O	515775	Pamidi	Ananthapur	Delivery
181	Dhaniyancheruvu B.O	515521	N.p. Kunta	Ananthapur	Delivery
182	Dharmapuri B.O	515812	Vajrakarur	Ananthapur	Delivery
183	Dharmavaram Bazar S.O	515671	Dharmavaram	Ananthapur	Non-Delivery
184	Dharmavaram H.O 
                                        
                                          H.O	515671	Dharmavaram	Ananthapur	Delivery
185	Dharmavaram R.S S.O	515672	Dharmavaram	Ananthapur	Delivery
186	Diguvapalli B.O	515414	Tadipatri	Ananthapur	Delivery
187	Diguvathotlipalli B.O	515571	Tanakal	Ananthapur	Delivery
188	Dimmagudi B.O	515405	Pedda Vadagur	Ananthapur	Delivery
189	Dodagatta B.O	515761	Kalyandurg	Ananthapur	Delivery
190	Dodaghatta B.O	515123	Roddam	Ananthapur	Delivery
191	Dodderi B.O	515321	Rolla	Ananthapur	Delivery
192	Dokkalahalli B.O	515321	Rolla	Ananthapur	Delivery
193	Donekal B.O	515842	Vidapanakal	Ananthapur	Delivery
194	Donnikota B.O	515531	Nallamada	Ananthapur	Delivery
195	Dorigallu B.O	515511	Mudigubba	Ananthapur	Delivery
196	Dosaludiki B.O	515803	Guntakal	Ananthapur	Delivery
197	Duddebanda B.O	515164	Penukonda	Ananthapur	Delivery
198	Duddekunta B.O	515741	Beluguppa	Ananthapur	Delivery
199	Duggumarri B.O	515425	Narpala	Ananthapur	Delivery
200	Durdakunta B.O	515787	Kalyandurg	Ananthapur	Delivery
201	East Nadimpalle B.O	515581	Talupula	Ananthapur	Delivery
202	Eddulapalli B.O	515775	Pamidi	Ananthapur	Delivery
203	Eddulavaripalli B.O	515531	Obuladevaracheruvu	Ananthapur	Delivery
204	Edulaballapuram B.O	515122	Somandepalli	Ananthapur	Delivery
205	Edurur B.O	515405	Pamidi	Ananthapur	Delivery
206	Eguvagangireddipalli B.O	515531	Puttaparthi	Ananthapur	Delivery
207	Elakuntla B.O	515641	Kanaganapalli	Ananthapur	Delivery
208	Elukuntla B.O	515159	Dharmavaram	Ananthapur	Delivery
209	Enumulavaripalli B.O	515501	Mudigubba	Ananthapur	Delivery
210	Erradoddi B.O	515541	Kadiri	Ananthapur	Delivery
211	Errakuntapalle B.O	515571	Tanakal	Ananthapur	Delivery
212	Ethodu B.O	515571	Tanakallu	Ananthapur	Delivery
213	G.Kottala B.O	515775	Pamidi	Ananthapur	Delivery
214	Gadehothur B.O	515832	Vajrakarur	Ananthapur	Delivery
215	Gadekal B.O	515842	Vidapanakal	Ananthapur	Delivery
216	Gajarampalli B.O	515775	Pamidi	Ananthapur	Delivery
217	Galibipalli B.O	515331	Lepakshi	Ananthapur	Delivery
218	Gandhibazar S.O (Ananthapur)	515005	Anantapur	Ananthapur	Non-Delivery
219	Gandhodivandlapalli B.O	515571	Tanakal	Ananthapur	Delivery
220	Gandlaparthi B.O	515722	Kanaganapalli	Ananthapur	Delivery
221	Gandlapenta S.O	515521	Gandlapenta	Ananthapur	Delivery
222	Gandlavandlapalli B.O	515511	Mudigubba	Ananthapur	Delivery
223	Gangampalli B.O	515231	Gorantla	Ananthapur	Delivery
224	Ganganapalli B.O	515425	Narpala	Ananthapur	Delivery
225	Gangavaram B.O	515761	Beluguppa	Ananthapur	Delivery
226	Ganginepalli B.O	515144	C.k.. Palli	Ananthapur	Delivery
227	Gangivaripalli B.O	515581	Talupula	Ananthapur	Delivery
228	Gangulavaipalem B.O	515291	Madakasira	Ananthapur	Delivery
229	Ganigera B.O	515871	Kanekal	Ananthapur	Delivery
230	Gantimarri B.O	515101	Ramagiri	Ananthapur	Delivery
231	Garimakulapalli B.O	515621	Ramagiri	Ananthapur	Delivery
232	Garisalapalli B.O	515631	Bathalapalli	Ananthapur	Delivery
233	Garladinne S.O	515731	Garladinne	Ananthapur	Delivery
234	Garudachedu B.O	515871	Kanekal	Ananthapur	Delivery
235	Garuguchintalapallo B.O	515414	Putlur	Ananthapur	Delivery
236	Gasikavaripalli B.O	515154	Bukkapatnam	Ananthapur	Delivery
237	Georgepet S.O	515004	Anantapur	Ananthapur	Delivery
238	Ghntapuram B.O	515661	Bathalapalle	Ananthapur	Delivery
239	Godasalapalli B.O	515871	D.Hirehal	Ananthapur	Delivery
240	Goddumarri B.O	515465	Yellanur	Ananthapur	Delivery
241	Golla B.O	515761	Kalyandurg	Ananthapur	Delivery
242	Gollaladoddi B.O	515401	Gooty	Ananthapur	Delivery
243	Gollapalli B.O	515212	Parigi	Ananthapur	Delivery
244	Gollapalli B.O	515865	Gummagatta	Ananthapur	Delivery
245	Gollapalli B.O	515425	Narpala	Ananthapur	Delivery
246	Gollapuram B.O	515211	Hindupur	Ananthapur	Delivery
247	Gonabhavi B.O	515863	Gummagatta	Ananthapur	Delivery
