S.No.	Post Office	pincode	Taluk	City	Delievery Type
396	Kappalabanda B.O	515133	Puttaparthi	Ananthapur	Delivery
397	Karakamukkala B.O	515870	Vidapanakal	Ananthapur	Delivery
398	Karavulapalli B.O	515231	Gorantla	Ananthapur	Delivery
399	Karidasanahalli B.O	515311	Agali	Ananthapur	Delivery
400	Karidikonda B.O	515402	Gooty	Ananthapur	Delivery
401	Karikera B.O	515305	Gudibanda	Ananthapur	Delivery
402	Karthanaparthi B.O	515787	Kambadur	Ananthapur	Delivery
403	Karutlapalli B.O	515711	Kudair	Ananthapur	Delivery
404	Kasapuram B.O	515803	Guntakal	Ananthapur	Delivery
405	Kassamudram B.O	515556	Amadagur	Ananthapur	Delivery
406	Katakamvaripalli B.O	515521	Gandlapenta	Ananthapur	Delivery
407	Katakindapalli B.O	515832	Vajrakarur	Ananthapur	Delivery
408	Katarupalle B.O	515521	Gandlapenta	Ananthapur	Delivery
409	Katrimala B.O	515775	Pamidi	Ananthapur	Delivery
410	Kaverisamudram B.O	515415	Tadipatri	Ananthapur	Delivery
411	Kenchanapalli B.O	515867	Rayadurg	Ananthapur	Delivery
412	Kenkara B.O	515286	Amarapuram	Ananthapur	Delivery
413	Kesapuram B.O	515144	Kothacheruvu	Ananthapur	Delivery
414	Kesavapuram B.O	515774	Garladinne	Ananthapur	Delivery
415	Kesepalli B.O	515425	Narpala	Ananthapur	Delivery
416	Khaderpeta B.O	515775	Pamidi	Ananthapur	Delivery
417	Khairevu B.O	515767	Shetturu	Ananthapur	Delivery
418	Kirikera S.O	515211	Hindupur	Ananthapur	Delivery
419	Kodapaganipalli B.O	515144	Kothacheruvu	Ananthapur	Delivery
420	Kodavandlapalle B.O	515511	Mudigubba	Ananthapur	Delivery
421	Kodihalli B.O	515311	Agali	Ananthapur	Delivery
422	Kodihalli B.O	515202	Lepakshi	Ananthapur	Delivery
423	Kodihalli West B.O	515863	Brahmasamudram	Ananthapur	Delivery
424	Kodikonda S.O	515601	Chilamathur	Ananthapur	Delivery
425	Kodipalli East B.O	515787	Kalyandurg	Ananthapur	Delivery
426	Kodur B.O	515601	Chilamathur	Ananthapur	Delivery
427	Kogira B.O	515123	Roddam	Ananthapur	Delivery
428	Kojjepalli B.O	515401	Gooty	Ananthapur	Delivery
429	Kokkanti B.O	515571	Tanakallu	Ananthapur	Delivery
430	Kolaganahalli B.O	515871	Bommanahal	Ananthapur	Delivery
431	Komatikuntla B.O	515414	Putlur	Ananthapur	Delivery
432	Konakondla S.O	515842	Vajrakarur	Ananthapur	Delivery
433	Konapuram B.O	515761	Beluguppa	Ananthapur	Delivery
434	Konapuram B.O	515110	Penukonda	Ananthapur	Delivery
435	Konauppalapadu B.O	515408	Yadiki	Ananthapur	Delivery
436	Kondaguttapalli B.O	515541	Mudigubba	Ananthapur	Delivery
437	Kondakamarla S.O	515531	Obuladevaracheruvu	Ananthapur	Delivery
438	Kondamanayanipalem B.O	515541	Kadiri	Ananthapur	Delivery
439	Kondapuram B.O	515110	Penukonda	Ananthapur	Delivery
440	Kondapuram B.O	515231	Gorantla	Ananthapur	Delivery
441	Kondapuram B.O	515621	Ramagiri	Ananthapur	Delivery
442	Kondavenukapalli B.O	515571	Tanakal	Ananthapur	Delivery
443	Kondur B.O	515331	Lepakshi	Ananthapur	Delivery
444	Konetinayanipalem B.O	515621	Kanaganapalli	Ananthapur	Delivery
445	Konganapalli B.O	515401	Gooty	Ananthapur	Delivery
446	Konkallu B.O	515271	Gudibanda	Ananthapur	Delivery
447	Koppalakonda B.O	515774	Garladinne	Ananthapur	Delivery
448	Korrakodu B.O	515711	Kuderu	Ananthapur	Delivery
449	Korrapadu B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
450	Korthikota B.O	515571	Tanakallu	Ananthapur	Delivery
451	Kotanka B.O	515731	Garladinna	Ananthapur	Delivery
452	Kotapalli B.O	515571	Tanakal	Ananthapur	Delivery
453	Kothacheruvu S.O	515133	Kothacheruvu	Ananthapur	Delivery
454	Kothagundumala B.O	515291	Madakasira	Ananthapur	Delivery
455	Kothakota B.O	515870	Vidapanakal	Ananthapur	Delivery
456	Kothakota B.O	515154	Bukkapatnam	Ananthapur	Delivery
457	Kothapalli B.O	515751	Atmakur	Ananthapur	Delivery
458	Kothapalli B.O	515731	Bukkaraya Samudram	Ananthapur	Delivery
459	Kothapeta(Gooty) B.O	515401	Gooty	Ananthapur	Delivery
460	Kothapeta(Uravakonda) S.O	515812	Uravakonda	Ananthapur	Non-Delivery
461	Kotipi B.O	515211	Hindupur	Ananthapur	Delivery
462	Kotlapalli B.O	515110	Puttaparthi	Ananthapur	Delivery
463	Kotnur B.O	515212	Hindupur	Ananthapur	Delivery
464	Kottala B.O	515803	Guntakal	Ananthapur	Delivery
465	Kottalapalli B.O	515870	Vidapanakal	Ananthapur	Delivery
466	Kovvurivandlapalle B.O	515581	Talupula	Ananthapur	Delivery
467	Kowlepalli B.O	515591	Kadiri	Ananthapur	Delivery
468	Krishnapuram S.O (Ananthapur)	515159	Bukkapatnam	Ananthapur	Delivery
469	Krishtipadu B.O	515455	Peddavadugur	Ananthapur	Delivery
470	Kuchivaripalli B.O	515465	Yellanur	Ananthapur	Delivery
471	Kuderu S.O (Ananthapur)	515711	Kuderu	Ananthapur	Delivery
472	Kudlur B.O	515871	Bommanahal	Ananthapur	Delivery
473	Kumbaranagenahalli B.O	515305	Gudibanda	Ananthapur	Delivery
474	Kummanamala B.O	515414	Putlur	Ananthapur	Delivery
475	Kundurpi S.O	515766	Kundurpi	Ananthapur	Delivery
476	Kuntimaddi B.O	515101	Ramagiri	Ananthapur	Delivery
477	Kunukuntla B.O	515631	Tadimarri	Ananthapur	Delivery
478	Kunuthuru B.O	515672	Dharmavaram	Ananthapur	Delivery
479	Kurabanahalli B.O	515761	Kalyandurg	Ananthapur	Delivery
480	Kuraganipalli B.O	515425	Narpala	Ananthapur	Delivery
481	Kurakulapalli B.O	515621	Kambaduru	Ananthapur	Delivery
482	Kurlyreddivaripalli B.O	515581	Talupula	Ananthapur	Delivery
483	Kurubavandlapalli B.O	515164	Penukonda	Ananthapur	Delivery
484	Kurugunta B.O	515751	Atmakur	Ananthapur	Delivery
485	Kurumala B.O	515531	Nallamada	Ananthapur	Delivery
486	Kurumamidi B.O	515521	Gandlapenta	Ananthapur	Delivery
487	Kuruvalli B.O	515871	Bommanahal	Ananthapur	Delivery
488	Kutagulla S.O	515541	Kadiri	Ananthapur	Delivery
489	Kutalacheruvupalli B.O	515501	Nallamada	Ananthapur	Delivery
490	Lachumpalli B.O	515405	Peddavadugur	Ananthapur	Delivery
491	Lakkasamudram B.O	515541	Talupula	Ananthapur	Delivery
492	Lakshmampalli B.O	515766	Shetturu	Ananthapur	Delivery
493	Lakshmampalli B.O	515465	Yellanur	Ananthapur	Delivery
494	Lakshmi Bazar B.O	515865	Rayadurg	Ananthapur	Non-Delivery
495	Lakshumpalli B.O	515455	Yadiki	Ananthapur	Delivery
496	Lalepalli B.O	515341	Chilamathur	Ananthapur	Delivery
497	Lathavaram B.O	515812	Uravakonda	Ananthapur	Delivery
498	Lepakshi S.O	515331	Lepakshi	Ananthapur	Delivery
499	Lingareddipalli B.O	515465	Yellanur	Ananthapur	Delivery
500	Locherla B.O	515133	Kothacheruvu	Ananthapur	Delivery
501	M.P.R.Site B.O	515731	Garladinne	Ananthapur	Delivery
502	M.Rayapuram B.O	515271	Rolla	Ananthapur	Delivery
503	Madakasira S.O	515301	Madakasira	Ananthapur	Delivery
504	Maddalacheruvu B.O	515621	Kanaganapalli	Ananthapur	Delivery
505	Maddanakunta B.O	515281	Amarapuram	Ananthapur	Delivery
506	Maddipalli B.O	515414	Putlur	Ananthapur	Delivery
507	Madhudi B.O	515311	Agali	Ananthapur	Delivery
508	Madigubba B.O	515751	Atmakur	Ananthapur	Delivery
509	Madugupalli B.O	515425	Narpala	Ananthapur	Delivery
510	Malakavemula B.O	515501	Mudigubba	Ananthapur	Delivery
511	Malamidipalli B.O	515521	Gandlapenta	Ananthapur	Delivery
512	Malayanuru B.O	515766	Kundurpi	Ananthapur	Delivery
513	Mallakalva B.O	515672	Dharmavaram	Ananthapur	Delivery
514	Mallapuram B.O	515812	Uravakonda	Ananthapur	Delivery
515	Mallenipalli B.O	515405	Pedda Vadagur	Ananthapur	Delivery
516	Mallepalli B.O	515541	Mudigubba	Ananthapur	Delivery
517	Mallepalli B.O	515241	Gorantla	Ananthapur	Delivery
518	Malugur B.O	515212	Hindupur	Ananthapur	Delivery
519	Malyam B.O	515871	Kanekal	Ananthapur	Delivery
520	Malyavantham B.O	515661	Bathalapalli	Ananthapur	Delivery
521	Mamadur B.O	515405	Gooty	Ananthapur	Delivery
522	Mamaduru B.O	515767	Brahmasamudram	Ananthapur	Delivery
523	Mamidimakulapalli B.O	515331	Lepakshi	Ananthapur	Delivery
524	Mandalahalli B.O	515271	Gudibanda	Ananthapur	Delivery
525	Mandalapalle B.O	515231	Gorantla	Ananthapur	Delivery
526	Mandli B.O	515124	Somandepalli	Ananthapur	Delivery
527	Manepalli B.O	515331	Lepakshi	Ananthapur	Delivery
528	Manesamudram B.O	515212	Hindupur	Ananthapur	Delivery
529	Mangalamadaka B.O	515154	Mudigubba	Ananthapur	Delivery
530	Manirevu B.O	515751	Kalayandurg	Ananthapur	Delivery
531	Mannila B.O	515721	Anantapur	Ananthapur	Delivery
532	Manur B.O	515303	Madakasira	Ananthapur	Delivery
533	Marakuntapalli B.O	515133	Kothacheruvu	Ananthapur	Delivery
534	Marala B.O	515159	Bukkapatnam	Ananthapur	Delivery
535	Maravapalli Agraharam B.O	515631	Tadimarri	Ananthapur	Delivery
536	Marrikommadinne B.O	515521	N.p. Kunta	Ananthapur	Delivery
537	Marrimakulapalle B.O	515631	Tadimarri	Ananthapur	Delivery
538	Marrimakulapalli B.O	515765	Kambadur	Ananthapur	Delivery
539	Marthadu B.O	515731	Garladinna	Ananthapur	Delivery
540	Marthadu B.O	515511	Mudigubba	Ananthapur	Delivery
541	Maruru B.O	515641	Raptadu	Ananthapur	Delivery
542	Marutla B.O	515711	Kuderu	Ananthapur	Delivery
543	Mavatur B.O	515124	Penukonda	Ananthapur	Delivery
544	Medapuram S.O	515651	C.k. Palli	Ananthapur	Delivery
545	Medikurthi B.O	515465	Yellanur	Ananthapur	Delivery
546	Mekalacheruvu B.O	515521	N.p. Kunta	Ananthapur	Delivery
547	Melavoy B.O	515301	Madakasira	Ananthapur	Delivery
548	Miduthur B.O	515405	Pedda Vadagur	Ananthapur	Delivery
549	Mirjapuram B.O	515133	Kothacheruvu	Ananthapur	Delivery
550	Moda B.O	515212	Hindupur	Ananthapur	Delivery
551	Modinabad S.O	515801	Guntakal	Ananthapur	Non-Delivery
552	Modugulakunta B.O	515631	Tadimarri	Ananthapur	Delivery
553	Mohammadabad B.O	515561	Amadaguru	Ananthapur	Delivery
554	Mopidi B.O	515812	Uravakonda	Ananthapur	Delivery
555	Morampalle B.O	515601	Chilamathur	Ananthapur	Delivery
556	Morasalapalli B.O	515601	Chilamathur	Ananthapur	Delivery
557	Morubagalu B.O	515286	Gudibanda	Ananthapur	Delivery
558	Mothukapalli B.O	515212	Hindupur	Ananthapur	Delivery
559	Motilal Street S.O	515004	Anantapur	Ananthapur	Non-Delivery
560	Motorchintalapalle B.O	515621	Ramagiri	Ananthapur	Delivery
561	Muchukota B.O	515445	Tadipatri	Ananthapur	Delivery
562	Muddalapuram B.O	515711	Kudair	Ananthapur	Delivery
563	Muddinayanipalli B.O	515787	Kalyandurg	Ananthapur	Delivery
564	Muddireddypalli S.O	515202	Hindupur	Ananthapur	Delivery
565	Mudigal B.O	515761	Kalyandurg	Ananthapur	Delivery
566	Mudigubba S.O	515511	Mudigubba	Ananthapur	Delivery
567	Mukthapuram B.O	515641	Kanaganapalli	Ananthapur	Delivery
568	Mukthapuram B.O	515159	Mudigubba	Ananthapur	Delivery
569	Mulakalacheruvu B.O	515123	Roddam	Ananthapur	Delivery
570	Mulakaledu B.O	515767	NA	Ananthapur	Delivery
571	Mulakanur B.O	515765	Kambadur	Ananthapur	Delivery
572	Mundlavaripalli B.O	515571	Tanakallu	Ananthapur	Delivery
573	Munimadugu B.O	515164	Penukonda	Ananthapur	Delivery
574	Muntimadugu B.O	515774	Garladinne	Ananthapur	Delivery
575	Muppalakunta B.O	515763	Brahmasamudram	Ananthapur	Delivery
576	Muradi B.O	515865	Herial	Ananthapur	Delivery
577	Muradi Hanumapuram B.O	515865	D.Hirehal	Ananthapur	Delivery
578	Mustikovela B.O	515101	C.k. Palli	Ananthapur	Delivery
579	Musturu B.O	515661	Bathalapalli	Ananthapur	Delivery
580	Muthyalacheruvu B.O	515591	Kadiri	Ananthapur	Delivery
581	Muttala B.O	515751	Atmakur	Ananthapur	Delivery
582	Mutukuru B.O	515271	Gudibanda	Ananthapur	Delivery
583	Mydugolam B.O	515331	Lepakshi	Ananthapur	Delivery
584	Mylasamudram B.O	515144	Kothacheruvu	Ananthapur	Delivery
585	N.Hanumapuram B.O	515822	Uravakonda	Ananthapur	Delivery
586	N.Madapuram B.O	515672	Dharmavaram	Ananthapur	Delivery
587	N.Narsapuram B.O	515803	Guntakal	Ananthapur	Delivery
588	N.P.Kunta B.O	515521	N.p. Kunta	Ananthapur	Delivery
589	N.Thimmapuram B.O	515842	Guntakal	Ananthapur	Delivery
590	Nachenahalli B.O	515286	Gudibanda	Ananthapur	Delivery
591	Nadimidoddi B.O	515425	Narpala	Ananthapur	Delivery
592	Nadimpalli B.O	515122	Somandepalli	Ananthapur	Delivery
593	Nagalapuram B.O	515871	Herial	Ananthapur	Delivery
594	Nagalur B.O	515124	Penukonda	Ananthapur	Delivery
595	Nagarur B.O	515455	Yadiki	Ananthapur	Delivery
596	Nagasamudram B.O	515401	Gooty	Ananthapur	Delivery
597	Nagasamudram B.O	515101	C.k. Palli	Ananthapur	Delivery
598	Naginayanicheruvu Thanda B.O	515122	Somandepalli	Ananthapur	Delivery
599	Nagireddipalli B.O	515133	Kothacheruvu	Ananthapur	Delivery
600	Nakkalapalli B.O	515741	Beluguppa	Ananthapur	Delivery
601	Nakkanadoddi B.O	515803	Guntakal	Ananthapur	Delivery
602	Nallaboyanapalle B.O	515672	Dharmavaram	Ananthapur	Delivery
603	Nallacherlopalli B.O	515159	Mudigubba	Ananthapur	Delivery
604	Nallacheruvu S.O	515551	Nallacheruvu	Ananthapur	Delivery
605	Nallaguttapalli B.O	515561	Obuladevaracheruvu	Ananthapur	Delivery
606	Nallamada B.O	515501	Nallamada	Ananthapur	Delivery
607	Nallur B.O	515124	Roddam	Ananthapur	Delivery
608	Naranagepalli B.O	515123	Roddam	Ananthapur	Delivery
609	Narapla S.O	515425	Narpala	Ananthapur	Delivery
610	Narasambudi B.O	515311	Agali	Ananthapur	Delivery
611	Narasampalli B.O	515641	Kanaganapalli	Ananthapur	Delivery
612	Narasanenikunta B.O	515004	Anantapur	Ananthapur	Delivery
613	Narasapuram B.O	515408	Peddapappur	Ananthapur	Delivery
614	Narasapuram B.O	515763	Beluguppa	Ananthapur	Delivery
615	Narasapuram B.O	515261	Parigi	Ananthapur	Delivery
616	Narasapuram East B.O	515435	Singanamala	Ananthapur	Delivery
617	Narasapuram West B.O	515435	Singanamala	Ananthapur	Delivery
618	Narasimpalli B.O	515661	Bathalapalle	Ananthapur	Delivery
619	Narasimpalli Thanda B.O	515144	Bukkapatnam	Ananthapur	Delivery
620	Narayanapuram B.O	515761	Kalyandurg	Ananthapur	Delivery
621	Narepalli B.O	515144	Kothacheruvu	Ananthapur	Delivery
622	Narinjagundlapalli B.O	515741	Beluguppa	Ananthapur	Delivery
623	Nasanakota B.O	515672	Ramagiri	Ananthapur	Delivery
624	Nawabkota B.O	515531	Obuladevaracheruvu	Ananthapur	Delivery
625	Neelakantapuram S.O	515291	Rolla	Ananthapur	Delivery
626	Neerukuntapalle B.O	515541	Kadiri	Ananthapur	Delivery
627	Nelagonda B.O	515842	Guntakal	Ananthapur	Delivery
628	Nelakota B.O	515159	Dharmavaram	Ananthapur	Delivery
629	Nemakallu B.O	515871	Bommanahal	Ananthapur	Delivery
630	Nesevandlapalli B.O	515601	Chilamathur	Ananthapur	Delivery
631	Netrapalli B.O	515867	Gummagatta	Ananthapur	Delivery
632	Nidigallu B.O	515661	Tadimarri	Ananthapur	Delivery
633	Nidimamidi B.O	515110	Puttaparthi	Ananthapur	Delivery
634	Nidraghatta B.O	515286	Amarapuram	Ananthapur	Delivery
635	Niluvarathipalli B.O	515561	Obuladevaracheruvu	Ananthapur	Delivery
636	Nimbagallu B.O	515822	Uravakonda	Ananthapur	Delivery
637	Nitturu B.O	515408	Yadiki	Ananthapur	Delivery
638	Nizava.Lli B.O	515766	Kundurpi	Ananthapur	Delivery
639	Nuthanakalva B.O	515581	Talupula	Ananthapur	Delivery
640	Nuthimadugu S.O	515787	Kambadur	Ananthapur	Delivery
641	Nyamaddala B.O	515101	C.k. Palli	Ananthapur	Delivery
642	Obula Devara Cheruvu S.O	515561	Obuladevacheruvu	Ananthapur	Delivery
643	Obulapuram B.O	515414	Putlur	Ananthapur	Delivery
644	Obulapuram B.O	515865	Herial	Ananthapur	Delivery
645	Obulapuram B.O	515672	Bathalapalle	Ananthapur	Delivery
646	Obulareddipalli B.O	515581	Talupula	Ananthapur	Delivery
647	Oddupalli B.O	515751	Atmakur	Ananthapur	Delivery
648	Odulapalli B.O	515581	Talupula	Ananthapur	Delivery
649	Old Guntakal S.O	515803	Guntakal	Ananthapur	Delivery
650	Old Town S.O (Ananthapur)	515005	Anantapur	Ananthapur	Delivery
651	Ontimiddi B.O	515761	Kalyandurg	Ananthapur	Delivery
652	P Narayana Puram B.O	515751	Kudair	Ananthapur	Delivery
653	P Siddarampuram B.O	515751	Atmakur	Ananthapur	Delivery
654	P Yaleru B.O	515751	Atmakur	Ananthapur	Delivery
655	P.Byadagere B.O	515311	Agali	Ananthapur	Delivery
656	P.C.Peapully B.O	515832	Vajrakarur	Ananthapur	Delivery
657	P.Kothapalli B.O	515521	N.p. Kunta	Ananthapur	Delivery
658	P.Kothapalli B.O	515551	Nallacheruvu	Ananthapur	Delivery
659	P.Sadlapalli B.O	515202	Lepakshi	Ananthapur	Delivery
660	Pabr Sam Site B.O	515711	Kudair	Ananthapur	Delivery
661	Palacherla B.O	515722	Raptadu	Ananthapur	Delivery
662	Palasamudram B.O	515241	Gorantla	Ananthapur	Delivery
663	Palavoyi B.O	515761	Kalyandurg	Ananthapur	Delivery
664	Pallepalli B.O	515865	Rayadurg	Ananthapur	Delivery
665	Palluru B.O	515765	Kambadur	Ananthapur	Delivery
666	Palthur B.O	515870	Vidapanakal	Ananthapur	Delivery
667	Palyam B.O	515775	Pamidi	Ananthapur	Delivery
668	Pamidi S.O	515775	Pamidi	Ananthapur	Delivery
669	Pamudurthi S.O	515154	Bukkapatnam	Ananthapur	Delivery
670	Pandikunta B.O	515832	Vajrakarur	Ananthapur	Delivery
671	Pandiparthi B.O	515122	Somandepalli	Ananthapur	Delivery
672	Pandulakunta B.O	515541	Kadiri	Ananthapur	Delivery
673	Papampalli B.O	515761	Kalyandurg	Ananthapur	Delivery
674	Pappuru B.O	515425	Narpala	Ananthapur	Delivery
675	Parigi S.O	515261	Parigi	Ananthapur	Delivery
676	Parlachedu B.O	515767	Settur	Ananthapur	Delivery
677	Parsannayapalli B.O	515002	Anantapur	Ananthapur	Delivery
678	Pasalur B.O	515408	Peddapappur	Ananthapur	Delivery
679	Patel Road S.O	515001	Anantapur	Ananthapur	Non-Delivery
680	Pathakothacheruvu B.O	515401	Gooty	Ananthapur	Delivery
681	Pathikuntapalli B.O	515241	Somandepalle	Ananthapur	Delivery
682	Patnam S.O	515501	Nallamada	Ananthapur	Delivery
683	Pedaballi B.O	515571	N.p. Kunta	Ananthapur	Delivery
684	Pedaballi B.O	515231	Puttaparthi	Ananthapur	Delivery
685	Pedda Kowkuntla B.O	515822	Uravakonda	Ananthapur	Delivery
686	Pedda Vadagur S.O	515405	Pedda Vadagur	Ananthapur	Delivery
687	Peddachigullarevu B.O	515631	Tadimarri	Ananthapur	Delivery
688	Peddakadapalavaripalli B.O	515571	Tanakal	Ananthapur	Delivery
689	Peddakotla B.O	515631	Tadimarri	Ananthapur	Delivery
690	Peddamanthur S.O	515124	Roddam	Ananthapur	Delivery
691	Peddannavaripalli B.O	515581	Talupula	Ananthapur	Delivery
692	Peddapappuru B.O	515445	Tadipatri	Ananthapur	Delivery
693	Peddapolamada B.O	515411	Tadipatri	Ananthapur	Delivery
694	Peddayakkalur B.O	515408	Peddapappur	Ananthapur	Delivery
695	Peddayellampalli B.O	515551	Nallacheruvu	Ananthapur	Delivery
696	Pedoddi B.O	515401	Gooty	Ananthapur	Delivery
697	Pemanakuntapalli Thanda B.O	515501	Nallamada	Ananthapur	Delivery
698	Penakacherla B.O	515731	Garladinna	Ananthapur	Delivery
699	Penukonda Fort S.O	515110	Penukonda	Ananthapur	Non-Delivery
700	Penukonda S.O	515110	Penukonda	Ananthapur	Delivery
701	Peravali B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
702	Perur S.O (Ananthapur)	515621	Ramgiri	Ananthapur	Delivery
703	Phalaram B.O	515271	Gudibanda	Ananthapur	Delivery
704	Pillalapalli B.O	515763	Brahma Samudram	Ananthapur	Delivery
705	Pinnadhari B.O	515631	Dharmavaram	Ananthapur	Delivery
706	Pitchireddikottala B.O	515621	Ramagiri	Ananthapur	Delivery
707	Podaralla B.O	515731	Bukkaraya Samudram	Ananthapur	Delivery
708	Podarallapalli B.O	515154	Mudigubba	Ananthapur	Delivery
709	Polepalli B.O	515101	Ramagiri	Ananthapur	Delivery
710	Polepalli B.O	515863	Brahmasamudram	Ananthapur	Delivery
711	Poliki B.O	515842	Vidapanakal	Ananthapur	Delivery
712	Pothulakunta B.O	515133	Kothacheruvu	Ananthapur	Delivery
713	Pothulanagepalli B.O	515651	Dharmavaram	Ananthapur	Delivery
714	Potlamarri B.O	515661	Bathalapalle	Ananthapur	Delivery
715	Pottipadu B.O	515832	Vajrakarur	Ananthapur	Delivery
716	Prasanthigram S.O	515134	Puttaparthi	Ananthapur	Non-Delivery
717	Prasanthinilayam S.O	515134	Puttaparthi	Ananthapur	Delivery
718	Pulagampalli B.O	515591	Nallamada	Ananthapur	Delivery
719	Pulakunta B.O	515202	Hindupur	Ananthapur	Delivery
720	Pulakunta B.O	515865	Gummagatta	Ananthapur	Delivery
721	Pulakurthy B.O	515865	Herial	Ananthapur	Delivery
722	Puleru B.O	515231	Gorantla	Ananthapur	Delivery
723	Puletipalli B.O	515101	C.k. Palli	Ananthapur	Delivery
724	Pulicherla B.O	515865	Kanekal	Ananthapur	Delivery
725	Pulikintapalli B.O	515556	Amadagur	Ananthapur	Delivery
726	Pulukunta B.O	515721	Anantapur	Ananthapur	Delivery
727	Puppala B.O	515455	Yadiki	Ananthapur	Delivery
728	Putlur S.O	515414	Putlur	Ananthapur	Delivery
729	Puttaparthi B.O	515134	Penukonda	Ananthapur	Delivery
730	Puttaparthy Main Bazar NDTSO	515134	Puttaparthy	Ananthapur	Non-Delivery
731	Pyadindi B.O	515651	C.k. Palli	Ananthapur	Delivery
732	R.Anantapuram B.O	515303	Madakasira	Ananthapur	Delivery
733	R.B.Vanka B.O	515865	Rayadurg	Ananthapur	Delivery
734	R.Kothapalli B.O	515865	Gummagatta	Ananthapur	Delivery
735	R.Locherla B.O	515123	Roddam	Ananthapur	Delivery
736	Rachanapalli B.O	515004	Anantapur	Ananthapur	Delivery
737	Rachavaraipalli B.O	515110	Penukonda	Ananthapur	Delivery
738	Rachepalli B.O	515611	Singanamala	Ananthapur	Delivery
739	Rachuru B.O	515123	Roddam	Ananthapur	Delivery
740	Ragalinganahalli B.O	515311	Agali	Ananthapur	Delivery
741	Ragulapadu B.O	515832	Vajrakarur	Ananthapur	Delivery
742	Railway Colony S.O (Ananthapur)	515801	Guntakal	Ananthapur	Non-Delivery
743	Rajaji Street B.O	515005	Anantapur	Ananthapur	Delivery
744	Rajapuram B.O	515401	Gooty	Ananthapur	Delivery
745	Rajendra Nagar S.O (Ananthapur)	515801	Guntakal	Ananthapur	Non-Delivery
746	Rajiv Colony B.O	515004	Anantapur	Ananthapur	Delivery
747	Raketla B.O	515822	Uravakonda	Ananthapur	Delivery
748	Ralla Anantapuram B.O	515621	Kambaduru	Ananthapur	Delivery
749	Rallahalli S.O	515305	Gudibanda	Ananthapur	Delivery
750	Ramachandra Nagar S.O	515001	Anantapur	Ananthapur	Non-Delivery
751	Ramagiri B.O	515672	Ramagiri	Ananthapur	Delivery
752	Ramapuram B.O	515787	Kambadur	Ananthapur	Delivery
753	Ramarajupalli B.O	515405	Pamidi	Ananthapur	Delivery
754	Ramasagaram B.O	515159	Bukkapatnam	Ananthapur	Delivery
755	Ramasagaram B.O	515741	Beluguppa	Ananthapur	Delivery
756	Ramnagar S.O (Ananthapur)	515004	Anantapur	Ananthapur	Non-Delivery
757	Rangachedu B.O	515867	Gummagatta	Ananthapur	Delivery
758	Rangepalli B.O	515122	Somandepalle	Ananthapur	Delivery
759	Raptadu B.O	515722	Rapthadu	Ananthapur	Delivery
760	Rathnagiri B.O	515321	Rolla	Ananthapur	Delivery
761	Ravulacheruvu B.O	515672	Dharmavaram	Ananthapur	Delivery
762	Ravuludiki B.O	515455	Peddavadugur	Ananthapur	Delivery
763	Rayadurg  Bazar S.O	515865	Rayadurg	Ananthapur	Non-Delivery
764	Rayadurg Fort B.O	515865	Rayadurg	Ananthapur	Non-Delivery
765	Rayadurg S.O	515865	Rayadurg	Ananthapur	Delivery
766	Rayalacheruvu S.O	515455	Yadiki	Ananthapur	Delivery
767	Rayalappadoddi B.O	515763	Brahmasamudram	Ananthapur	Delivery
768	Rayampalli B.O	515812	Uravakonda	Ananthapur	Delivery
769	Reddicheruvupalli B.O	515241	Gorantla	Ananthapur	Delivery
770	Reddipalli B.O	515501	Nallamada	Ananthapur	Delivery
771	Reddipalli B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
772	Reddivaripalem S.O	515411	Tadpatri	Ananthapur	Non-Delivery
773	Regatipalli B.O	515672	Dharmavaram	Ananthapur	Delivery
774	Renimakulapalli B.O	515812	Uravakonda	Ananthapur	Delivery
775	Roddam S.O	515123	Roddam	Ananthapur	Delivery
776	Rolla S.O	515321	Rolla	Ananthapur	Delivery
777	Rotarypuram B.O	515701	Bukkarayasamudram	Ananthapur	Delivery
778	Rudrampeta B.O	515004	Anantapur	Ananthapur	Delivery
779	S.Rayapuram B.O	515291	Gudibanda	Ananthapur	Delivery
780	S.Sadlapalli B.O	515211	Hindupur	Ananthapur	Delivery
781	Sainagar S.O	515001	Anantapur	Ananthapur	Non-Delivery
782	Sajjaladinne B.O	515415	Tadipatri	Ananthapur	Delivery
783	Salakamcheruvu B.O	515435	Singanamala	Ananthapur	Delivery
784	Sanapa B.O	515751	Atmakur	Ananthapur	Delivery
785	Sandrascherla B.O	515641	Kanaganapalle	Ananthapur	Delivery
786	Sangala B.O	515672	Bathalapalle	Ananthapur	Delivery
787	Sanipalli B.O	515124	Roddam	Ananthapur	Delivery
788	Sanjeevapuram B.O	515661	Bathalapalle	Ananthapur	Delivery
789	Sankarakallu B.O	515305	Gudibanda	Ananthapur	Delivery
790	Sankepalle B.O	515511	Mudigubba	Ananthapur	Delivery
791	Santhebidanur B.O	515211	Hindupur	Ananthapur	Delivery
792	Sasanakota B.O	515212	Parigi	Ananthapur	Delivery
793	Satyanandanagar S.O	515001	Anantapur	Ananthapur	Non-Delivery
794	Seeripi B.O	515741	Beluguppa	Ananthapur	Delivery
795	Senagalaguduru B.O	515411	Putluru	Ananthapur	Delivery
